n;q;ms;burn_in_iter:2;max_b:8;min_b:3;iter:1;max_n:6000
1000;6;1.09293
1000;7;1.07085
1000;8;1.29755
1000;0;2.03523
2000;3;11.5917
2000;4;7.81236
2000;5;7.8388
2000;6;8.95261
2000;7;9.01272
2000;8;8.92435
2000;0;17.7657
3000;3;38.7814
3000;4;33.1665
3000;5;27.5516
3000;6;31.3156
3000;7;31.3033
3000;8;31.2178
3000;0;65.2621
4000;3;89.945
4000;4;82.3277
4000;5;70.1479
4000;6;69.736
4000;7;87.3284
4000;8;87.5258
4000;0;167.253
5000;3;174.257
5000;4;161.215
5000;5;138.565
5000;6;138.72
5000;7;165.042
5000;8;162.351
5000;0;329.673
6000;3;289.962
6000;4;273.666
6000;5;241.489
6000;6;239.347
6000;7;302.342
6000;8;302.45
6000;0;579.095
1000;3;1.15291
1000;4;0.976602
1000;5;1.08946
1000;6;1.08334
1000;7;1.07161
1000;8;1.30516
1000;0;2.03679
2000;3;11.1574
2000;4;7.79019
2000;5;7.79393
2000;6;8.97385
2000;7;9.01142
2000;8;9.02125
2000;0;18.0127
3000;3;36.9396
3000;4;32.4764
3000;5;27.0467
3000;6;30.9512
3000;7;31.0109
3000;8;31.0765
3000;0;64.5466
4000;3;86.3176
4000;4;79.1352
4000;5;67.7563
4000;6;67.8615
4000;7;86.0203
4000;8;84.9346
4000;0;167.151
5000;3;166.851
5000;4;154.293
5000;5;133.869
5000;6;133.437
5000;7;163.216
5000;8;163.046
5000;0;330.959
6000;3;290.561
6000;4;272.907
6000;5;242.147
6000;6;240.17
6000;7;303.042
6000;8;303.762
6000;0;580.965
1000;3;1.13812
1000;4;1.13303
1000;5;1.07893
1000;6;1.07351
1000;7;1.07234
1000;8;1.28842
1000;0;2.04716
2000;3;11.1469
2000;4;7.76829
2000;5;7.77267
2000;6;8.89755
2000;7;8.88788
2000;8;8.92549
2000;0;17.8735
3000;3;38.8011
3000;4;33.3141
3000;5;27.5747
3000;6;31.3895
